De'Aaron Fox\foxde01;2018-19;21;SAC;81,0;5,6;81,0;31,4;6,2;13,6;5,2;10,7;1,1;2,9;3,7;5,1;3,8;7,3;1,6;0,6;2,8;2,5;17,3;0;0;0;0;0
CJ McCollum\mccolcj01;2018-19;27;POR;70,0;5,6;70,0;33,9;8,2;17,8;5,8;11,4;2,4;6,4;2,3;2,7;4,0;3,0;0,8;0,4;1,5;2,5;21,0;0;0;0;0;0
Josh Richardson\richajo01;2018-19;25;MIA;73,0;5,6;73,0;34,8;5,8;14,1;3,5;7,8;2,2;6,3;2,7;3,2;3,6;4,1;1,1;0,5;1,5;2,7;16,6;0;0;0;0;0
Joe Harris\harrijo01;2018-19;27;BRK;76,0;5,5;76,0;30,2;4,9;9,8;2,5;4,8;2,4;5,1;1,4;1,8;3,8;2,4;0,5;0,2;1,6;2,4;13,7;0;0;0;0;0
Jrue Holiday\holidjr01;2018-19;28;NOP;67,0;5,4;67,0;35,9;8,2;17,3;6,4;11,9;1,8;5,4;3,1;4,0;5,0;7,7;1,6;0,8;3,1;2,2;21,2;0;0;0;0;0
Enes Kanter\kanteen01;2018-19;26;TOT;67,0;5,4;31,0;24,5;5,6;10,2;5,4;9,7;0,1;0,5;2,3;2,9;9,8;1,7;0,5;0,4;1,8;2,5;13,7;0;0;0;0;0
Jeremy Lamb\lambje01;2018-19;26;CHO;79,0;5,3;55,0;28,5;5,5;12,4;4,0;8,2;1,5;4,2;2,9;3,3;5,5;2,2;1,1;0,4;1,0;1,8;15,3;0;0;0;0;0
Marcus Smart\smartma01;2018-19;24;BOS;80,0;5,3;60,0;27,5;3,0;7,1;1,4;2,8;1,6;4,3;1,3;1,6;2,9;4,0;1,8;0,4;1,5;2,5;8,9;0;0;0;0;0
Klay Thompson\thompkl01;2018-19;28;GSW;78,0;5,3;78,0;34,0;8,4;18,0;5,3;10,3;3,1;7,7;1,7;2,0;3,8;2,4;1,1;0,6;1,5;2,0;21,5;0;0;0;0;0
Taj Gibson\gibsota01;2018-19;33;MIN;70,0;5,1;57,0;24,1;4,3;7,7;4,2;7,2;0,2;0,5;1,9;2,5;6,5;1,2;0,8;0,6;1,0;2,7;10,8;0;0;0;0;0
Aaron Gordon\gordoaa01;2018-19;23;ORL;78,0;5,1;78,0;33,8;6,0;13,4;4,5;9,0;1,6;4,4;2,4;3,2;7,4;3,7;0,7;0,7;2,1;2,2;16,0;0;0;0;0;0
Jamal Murray\murraja01;2018-19;21;DEN;75,0;5,1;74,0;32,6;6,8;15,6;4,8;10,1;2,0;5,5;2,5;3,0;4,2;4,8;0,9;0,4;2,1;2,0;18,2;0;0;0;0;0
Jakob P”ltl\poeltja01;2018-19;23;SAS;77,0;5,1;24,0;16,5;2,4;3,8;2,4;3,8;0,0;0,0;0,6;1,2;5,3;1,2;0,4;0,9;0,6;1,6;5,5;0;0;0;0;0
